
1. Graph gelesen

1 : 2 3 4
11 : 8 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

11. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 10 11
10 : 7 9 13
11 : 8 9 14
12 : 8 13 14
13 : 10 12 14
14 : 11 12 13

12. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 10 13
10 : 7 9 13
11 : 8 12 14
12 : 8 11 14
13 : 9 10 14
14 : 11 12 13

13. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 10 13
10 : 7 9 14
11 : 8 12 13
12 : 8 11 14
13 : 9 11 14
14 : 10 12 13

14. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 10 13
10 : 7 9 14
11 : 8 13 14
12 : 8 13 14
13 : 9 11 12
14 : 10 11 12

15. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 11 12
10 : 7 13 14
11 : 8 9 13
12 : 8 9 14
13 : 10 11 14
14 : 10 12 13

16. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 12 13
11 : 8 9 14
12 : 8 10 14
13 : 9 10 14
14 : 11 12 13

17. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 12 14
11 : 8 9 13
12 : 8 10 14
13 : 9 11 14
14 : 10 12 13

18. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 12 14
11 : 8 9 14
12 : 8 10 13
13 : 9 12 14
14 : 10 11 13

19. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 5
5 : 3 4 6
6 : 5 7 8
7 : 6 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 13 14
11 : 8 9 14
12 : 8 13 14
13 : 9 10 12
14 : 10 11 12

20. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 7
7 : 5 6 8
8 : 7 9 10
9 : 8 10 11
10 : 8 9 12
11 : 9 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

21. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 7
7 : 5 6 8
8 : 7 9 10
9 : 8 11 12
10 : 8 11 13
11 : 9 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

22. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 7
7 : 5 6 8
8 : 7 9 10
9 : 8 11 12
10 : 8 13 14
11 : 9 12 13
12 : 9 11 14
13 : 10 11 14
14 : 10 12 13

23. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 7
7 : 5 6 8
8 : 7 9 10
9 : 8 11 12
10 : 8 13 14
11 : 9 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

24. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 8 9
8 : 6 7 10
9 : 7 10 11
10 : 8 9 12
11 : 9 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

25. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 8 9
8 : 6 7 10
9 : 7 11 12
10 : 8 11 13
11 : 9 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

26. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 8 9
8 : 6 7 10
9 : 7 11 12
10 : 8 13 14
11 : 9 12 13
12 : 9 11 14
13 : 10 11 14
14 : 10 12 13

27. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 8 9
8 : 6 7 10
9 : 7 11 12
10 : 8 13 14
11 : 9 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

28. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 9 10
9 : 7 8 11
10 : 7 8 12
11 : 9 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

29. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 9 11
9 : 7 8 10
10 : 7 9 12
11 : 8 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

30. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 9 11
9 : 7 8 12
10 : 7 11 13
11 : 8 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

31. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 9 11
9 : 7 8 12
10 : 7 12 13
11 : 8 13 14
12 : 9 10 14
13 : 10 11 14
14 : 11 12 13

32. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 9 11
9 : 7 8 12
10 : 7 13 14
11 : 8 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

33. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 10 11
10 : 7 9 13
11 : 8 9 14
12 : 8 13 14
13 : 10 12 14
14 : 11 12 13

34. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 10 13
10 : 7 9 13
11 : 8 12 14
12 : 8 11 14
13 : 9 10 14
14 : 11 12 13

35. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 10 13
10 : 7 9 14
11 : 8 12 13
12 : 8 11 14
13 : 9 11 14
14 : 10 12 13

36. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 10 13
10 : 7 9 14
11 : 8 13 14
12 : 8 13 14
13 : 9 11 12
14 : 10 11 12

37. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 11 12
10 : 7 13 14
11 : 8 9 13
12 : 8 9 14
13 : 10 11 14
14 : 10 12 13

38. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 12 13
11 : 8 9 14
12 : 8 10 14
13 : 9 10 14
14 : 11 12 13

39. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 12 14
11 : 8 9 13
12 : 8 10 14
13 : 9 11 14
14 : 10 12 13

40. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 12 14
11 : 8 9 14
12 : 8 10 13
13 : 9 12 14
14 : 10 11 13

41. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 6 7
6 : 4 5 8
7 : 5 9 10
8 : 6 11 12
9 : 7 11 13
10 : 7 13 14
11 : 8 9 14
12 : 8 13 14
13 : 9 10 12
14 : 10 11 12

42. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 8
7 : 5 6 9
8 : 5 6 10
9 : 7 11 12
10 : 8 11 13
11 : 9 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

43. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 8
7 : 5 6 9
8 : 5 6 10
9 : 7 11 12
10 : 8 13 14
11 : 9 12 13
12 : 9 11 14
13 : 10 11 14
14 : 10 12 13

44. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 8
7 : 5 6 9
8 : 5 6 10
9 : 7 11 12
10 : 8 13 14
11 : 9 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

45. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 8
8 : 5 7 10
9 : 6 11 12
10 : 8 11 13
11 : 9 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

46. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 8
8 : 5 7 10
9 : 6 11 12
10 : 8 13 14
11 : 9 12 13
12 : 9 11 14
13 : 10 11 14
14 : 10 12 13

47. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 8
8 : 5 7 10
9 : 6 11 12
10 : 8 13 14
11 : 9 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

48. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 9 10
9 : 6 8 11
10 : 7 8 12
11 : 9 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

49. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 9 11
9 : 6 8 11
10 : 7 12 13
11 : 8 9 14
12 : 10 13 14
13 : 10 12 14
14 : 11 12 13

50. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 9 11
9 : 6 8 12
10 : 7 11 13
11 : 8 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

51. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 9 11
9 : 6 8 12
10 : 7 13 14
11 : 8 12 13
12 : 9 11 14
13 : 10 11 14
14 : 10 12 13

52. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 9 11
9 : 6 8 12
10 : 7 13 14
11 : 8 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

53. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 10 11
9 : 6 10 12
10 : 7 8 9
11 : 8 13 14
12 : 9 13 14
13 : 11 12 14
14 : 11 12 13

54. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 10 11
9 : 6 11 12
10 : 7 8 13
11 : 8 9 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

55. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 10 11
9 : 6 12 13
10 : 7 8 11
11 : 8 10 14
12 : 9 13 14
13 : 9 12 14
14 : 11 12 13

56. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 10 11
9 : 6 12 13
10 : 7 8 12
11 : 8 13 14
12 : 9 10 14
13 : 9 11 14
14 : 11 12 13

57. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 10 11
9 : 6 12 13
10 : 7 8 14
11 : 8 12 13
12 : 9 11 14
13 : 9 11 14
14 : 10 12 13

58. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 10 11
9 : 6 12 13
10 : 7 8 14
11 : 8 12 14
12 : 9 11 13
13 : 9 12 14
14 : 10 11 13

59. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 11 12
10 : 7 13 14
11 : 8 9 13
12 : 8 9 14
13 : 10 11 14
14 : 10 12 13

60. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 11 13
10 : 7 11 14
11 : 8 9 10
12 : 8 13 14
13 : 9 12 14
14 : 10 12 13

61. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 11 13
10 : 7 12 13
11 : 8 9 14
12 : 8 10 14
13 : 9 10 14
14 : 11 12 13

62. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 11 13
10 : 7 12 14
11 : 8 9 13
12 : 8 10 14
13 : 9 11 14
14 : 10 12 13

63. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 11 13
10 : 7 12 14
11 : 8 9 14
12 : 8 10 13
13 : 9 12 14
14 : 10 11 13

64. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 13 14
10 : 7 11 12
11 : 8 10 13
12 : 8 10 14
13 : 9 11 14
14 : 9 12 13

65. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 13 14
10 : 7 11 13
11 : 8 10 12
12 : 8 11 14
13 : 9 10 14
14 : 9 12 13

66. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 13 14
10 : 7 11 13
11 : 8 10 14
12 : 8 13 14
13 : 9 10 12
14 : 9 11 12

67. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 9
8 : 5 7 11
9 : 6 7 10
10 : 6 9 12
11 : 8 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

68. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 9
8 : 5 7 11
9 : 6 7 12
10 : 6 11 13
11 : 8 10 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

69. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 9
8 : 5 7 11
9 : 6 7 12
10 : 6 12 13
11 : 8 13 14
12 : 9 10 14
13 : 10 11 14
14 : 11 12 13

70. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 9
8 : 5 7 11
9 : 6 7 12
10 : 6 13 14
11 : 8 12 13
12 : 9 11 14
13 : 10 11 14
14 : 10 12 13

71. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 9
8 : 5 7 11
9 : 6 7 12
10 : 6 13 14
11 : 8 13 14
12 : 9 13 14
13 : 10 11 12
14 : 10 11 12

72. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 11
9 : 6 10 12
10 : 6 9 13
11 : 7 8 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

73. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 11
9 : 6 12 13
10 : 6 12 13
11 : 7 8 14
12 : 9 10 14
13 : 9 10 14
14 : 11 12 13

74. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 11
9 : 6 12 13
10 : 6 12 14
11 : 7 8 13
12 : 9 10 14
13 : 9 11 14
14 : 10 12 13

75. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 10 11
10 : 6 9 13
11 : 7 9 14
12 : 8 13 14
13 : 10 12 14
14 : 11 12 13

76. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 10 13
10 : 6 9 14
11 : 7 12 13
12 : 8 11 14
13 : 9 11 14
14 : 10 12 13

77. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 10 13
10 : 6 9 14
11 : 7 13 14
12 : 8 13 14
13 : 9 11 12
14 : 10 11 12

78. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 12
10 : 6 13 14
11 : 7 9 13
12 : 8 9 14
13 : 10 11 14
14 : 10 12 13

79. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 13
10 : 6 11 14
11 : 7 9 10
12 : 8 13 14
13 : 9 12 14
14 : 10 12 13

80. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 13
10 : 6 12 13
11 : 7 9 14
12 : 8 10 14
13 : 9 10 14
14 : 11 12 13

81. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 13
10 : 6 12 14
11 : 7 9 13
12 : 8 10 14
13 : 9 11 14
14 : 10 12 13

82. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 13
10 : 6 12 14
11 : 7 9 14
12 : 8 10 13
13 : 9 12 14
14 : 10 11 13

83. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 13
10 : 6 13 14
11 : 7 9 12
12 : 8 11 14
13 : 9 10 14
14 : 10 12 13

84. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 13
10 : 6 13 14
11 : 7 9 14
12 : 8 13 14
13 : 9 10 12
14 : 10 11 12

85. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 13 14
10 : 6 13 14
11 : 7 12 13
12 : 8 11 14
13 : 9 10 11
14 : 9 10 12

86. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 10
8 : 5 9 11
9 : 6 7 8
10 : 6 7 12
11 : 8 13 14
12 : 10 13 14
13 : 11 12 14
14 : 11 12 13

87. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 10
8 : 5 11 12
9 : 6 7 11
10 : 6 7 13
11 : 8 9 14
12 : 8 13 14
13 : 10 12 14
14 : 11 12 13

88. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 10
8 : 5 11 12
9 : 6 7 13
10 : 6 7 13
11 : 8 12 14
12 : 8 11 14
13 : 9 10 14
14 : 11 12 13

89. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 10
8 : 5 11 12
9 : 6 7 13
10 : 6 7 14
11 : 8 12 13
12 : 8 11 14
13 : 9 11 14
14 : 10 12 13

90. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 10
8 : 5 11 12
9 : 6 7 13
10 : 6 7 14
11 : 8 13 14
12 : 8 13 14
13 : 9 11 12
14 : 10 11 12

91. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 11
8 : 5 10 11
9 : 6 7 12
10 : 6 8 13
11 : 7 8 14
12 : 9 13 14
13 : 10 12 14
14 : 11 12 13

92. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 11
8 : 5 10 12
9 : 6 7 11
10 : 6 8 13
11 : 7 9 14
12 : 8 13 14
13 : 10 12 14
