
1. Graph gelesen

1 : 2 3 4 5 6 7
5 : 1 2 3 7 10 11
6 : 1 2 4 8 9 11
7 : 1 2 5 9 10 11
8 : 3 4 6 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 7 8 9 11
11 : 5 6 7 8 9 10

23. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 10 11
6 : 1 2 4 9 10 11
7 : 1 2 5 8 9 11
8 : 3 4 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 6 8 9 11
11 : 5 6 7 8 9 10

24. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 8 9 11
6 : 1 2 4 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 7 10 11
9 : 3 5 6 7 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

25. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 8 10 11
6 : 1 2 4 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 7 9 11
9 : 3 6 7 8 10 11
10 : 4 5 6 7 9 11
11 : 5 6 7 8 9 10

26. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 8 10
5 : 1 2 3 9 10 11
6 : 1 2 4 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 7 9 10 11
9 : 3 5 6 7 8 11
10 : 4 5 6 7 8 11
11 : 5 6 7 8 9 10

27. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 10 11
5 : 1 2 3 8 9 10
6 : 1 2 4 8 9 11
7 : 1 2 8 9 10 11
8 : 3 5 6 7 10 11
9 : 3 5 6 7 10 11
10 : 4 5 7 8 9 11
11 : 4 6 7 8 9 10

28. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 10 11
5 : 1 2 3 8 9 10
6 : 1 2 4 8 10 11
7 : 1 2 8 9 10 11
8 : 3 5 6 7 9 11
9 : 3 5 7 8 10 11
10 : 4 5 6 7 9 11
11 : 4 6 7 8 9 10

29. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 6 10 11
5 : 1 2 3 8 10 11
6 : 1 2 4 8 9 10
7 : 1 2 8 9 10 11
8 : 3 5 6 7 9 11
9 : 3 6 7 8 10 11
10 : 4 5 6 7 9 11
11 : 4 5 7 8 9 10

30. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 9 10
5 : 1 2 3 8 9 11
6 : 1 2 7 8 10 11
7 : 1 2 6 9 10 11
8 : 3 4 5 6 10 11
9 : 3 4 5 7 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

31. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 9 10
5 : 1 2 3 8 10 11
6 : 1 2 7 8 9 11
7 : 1 2 6 9 10 11
8 : 3 4 5 6 10 11
9 : 3 4 6 7 10 11
10 : 4 5 7 8 9 11
11 : 5 6 7 8 9 10

32. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 9 10
5 : 1 2 3 8 10 11
6 : 1 2 7 8 10 11
7 : 1 2 6 9 10 11
8 : 3 4 5 6 9 11
9 : 3 4 7 8 10 11
10 : 4 5 6 7 9 11
11 : 5 6 7 8 9 10

33. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 9 10
5 : 1 2 3 8 10 11
6 : 1 2 7 9 10 11
7 : 1 2 6 9 10 11
8 : 3 4 5 9 10 11
9 : 3 4 6 7 8 11
10 : 4 5 6 7 8 11
11 : 5 6 7 8 9 10

34. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 9 10
5 : 1 2 3 8 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 6 7 11
9 : 3 4 6 7 10 11
10 : 4 5 6 7 9 11
11 : 5 6 7 8 9 10

35. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 8 10 11
6 : 1 2 7 8 9 10
7 : 1 2 6 9 10 11
8 : 3 4 5 6 9 11
9 : 3 6 7 8 10 11
10 : 4 5 6 7 9 11
11 : 4 5 7 8 9 10

36. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 8 10 11
6 : 1 2 7 9 10 11
7 : 1 2 6 9 10 11
8 : 3 4 5 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 6 7 8 9
11 : 4 5 6 7 8 9

37. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 8 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 6 7 9
9 : 3 6 7 8 10 11
10 : 4 5 6 7 9 11
11 : 4 5 6 7 9 10

38. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 9 10 11
6 : 1 2 7 8 9 10
7 : 1 2 6 8 9 11
8 : 3 4 6 7 10 11
9 : 3 5 6 7 10 11
10 : 4 5 6 8 9 11
11 : 4 5 7 8 9 10

39. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 9 10 11
6 : 1 2 7 8 9 10
7 : 1 2 6 8 10 11
8 : 3 4 6 7 9 11
9 : 3 5 6 8 10 11
10 : 4 5 6 7 9 11
11 : 4 5 7 8 9 10

40. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 9 10 11
6 : 1 2 7 8 10 11
7 : 1 2 6 9 10 11
8 : 3 4 6 9 10 11
9 : 3 5 7 8 10 11
10 : 4 5 6 7 8 9
11 : 4 5 6 7 8 9

41. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 9 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 6 7 9 10
9 : 3 5 6 7 8 11
10 : 4 5 6 7 8 11
11 : 4 5 6 7 9 10

42. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 5 8 9
4 : 1 2 3 8 10 11
5 : 1 2 3 9 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 6 7 10 11
9 : 3 5 6 7 10 11
10 : 4 5 6 7 8 9
11 : 4 5 6 7 8 9

43. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 8 9 10
4 : 1 2 3 8 9 10
5 : 1 2 6 8 9 11
6 : 1 2 5 8 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 6 7 11
9 : 3 4 5 7 10 11
10 : 3 4 6 7 9 11
11 : 5 6 7 8 9 10

44. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 8 9 10
4 : 1 2 3 8 9 10
5 : 1 2 8 9 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 6 7 11
9 : 3 4 5 6 7 11
10 : 3 4 5 6 7 11
11 : 5 6 7 8 9 10

45. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 8 9 10
4 : 1 2 3 8 9 11
5 : 1 2 6 8 9 10
6 : 1 2 5 8 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 6 7 11
9 : 3 4 5 7 10 11
10 : 3 5 6 7 9 11
11 : 4 6 7 8 9 10

46. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 8 9 10
4 : 1 2 3 8 9 11
5 : 1 2 6 8 10 11
6 : 1 2 5 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 7 9 10
9 : 3 4 6 7 8 11
10 : 3 5 6 7 8 11
11 : 4 5 6 7 9 10

47. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 8 9 10
4 : 1 2 3 8 9 11
5 : 1 2 6 8 10 11
6 : 1 2 5 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 7 10 11
9 : 3 4 6 7 10 11
10 : 3 5 6 7 8 9
11 : 4 5 6 7 8 9

48. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 4 8 9 10
4 : 1 2 3 8 9 11
5 : 1 2 8 9 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 6 7 10
9 : 3 4 5 6 7 11
10 : 3 5 6 7 8 11
11 : 4 5 6 7 9 10

49. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 7
3 : 1 2 8 9 10 11
4 : 1 2 8 9 10 11
5 : 1 2 8 9 10 11
6 : 1 2 8 9 10 11
7 : 1 2 8 9 10 11
8 : 3 4 5 6 7 9
9 : 3 4 5 6 7 8
10 : 3 4 5 6 7 11
11 : 3 4 5 6 7 10

50. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 5 7 10
5 : 1 2 3 4 8 11
6 : 1 2 3 9 10 11
7 : 1 4 8 9 10 11
8 : 2 5 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

51. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 5 7 10
5 : 1 2 3 4 10 11
6 : 1 2 3 8 9 11
7 : 1 4 8 9 10 11
8 : 2 6 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 7 8 9 11
11 : 5 6 7 8 9 10

52. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 7 8 10
5 : 1 2 3 7 8 11
6 : 1 2 3 9 10 11
7 : 1 4 5 9 10 11
8 : 2 4 5 9 10 11
9 : 3 6 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

53. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 7 8 10
5 : 1 2 3 7 9 11
6 : 1 2 3 8 10 11
7 : 1 4 5 9 10 11
8 : 2 4 6 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

54. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 7 8 10
5 : 1 2 3 7 10 11
6 : 1 2 3 9 10 11
7 : 1 4 5 8 9 11
8 : 2 4 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 6 8 9 11
11 : 5 6 7 8 9 10

55. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 7 8 10
5 : 1 2 3 9 10 11
6 : 1 2 3 9 10 11
7 : 1 4 8 9 10 11
8 : 2 4 7 9 10 11
9 : 3 5 6 7 8 11
10 : 4 5 6 7 8 11
11 : 5 6 7 8 9 10

56. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 6 9
4 : 1 2 3 7 10 11
5 : 1 2 3 8 10 11
6 : 1 2 3 9 10 11
7 : 1 4 8 9 10 11
8 : 2 5 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 6 7 8 9
11 : 4 5 6 7 8 9

57. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 8
4 : 1 2 3 5 9 10
5 : 1 2 3 4 9 11
6 : 1 2 7 8 10 11
7 : 1 3 6 9 10 11
8 : 2 3 6 9 10 11
9 : 4 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

58. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 8
4 : 1 2 3 6 9 10
5 : 1 2 3 7 9 11
6 : 1 2 4 8 10 11
7 : 1 3 5 9 10 11
8 : 2 3 6 9 10 11
9 : 4 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

59. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 8
4 : 1 2 3 6 9 10
5 : 1 2 3 9 10 11
6 : 1 2 4 7 9 11
7 : 1 3 6 8 10 11
8 : 2 3 7 9 10 11
9 : 4 5 6 8 10 11
10 : 4 5 7 8 9 11
11 : 5 6 7 8 9 10

60. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 8
4 : 1 2 3 6 9 10
5 : 1 2 3 9 10 11
6 : 1 2 4 9 10 11
7 : 1 3 8 9 10 11
8 : 2 3 7 9 10 11
9 : 4 5 6 7 8 11
10 : 4 5 6 7 8 11
11 : 5 6 7 8 9 10

61. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 8
4 : 1 2 3 9 10 11
5 : 1 2 3 9 10 11
6 : 1 2 7 8 9 10
7 : 1 3 6 8 9 11
8 : 2 3 6 7 10 11
9 : 4 5 6 7 10 11
10 : 4 5 6 8 9 11
11 : 4 5 7 8 9 10

62. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 8
4 : 1 2 3 9 10 11
5 : 1 2 3 9 10 11
6 : 1 2 7 8 9 10
7 : 1 3 6 9 10 11
8 : 2 3 6 9 10 11
9 : 4 5 6 7 8 11
10 : 4 5 6 7 8 11
11 : 4 5 7 8 9 10

63. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 9 11
6 : 1 2 7 8 10 11
7 : 1 3 6 9 10 11
8 : 2 4 6 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

64. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 9 11
6 : 1 2 7 9 10 11
7 : 1 3 6 8 10 11
8 : 2 4 7 9 10 11
9 : 3 5 6 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

65. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 5 8 10
5 : 1 2 3 4 9 11
6 : 1 2 8 9 10 11
7 : 1 3 8 9 10 11
8 : 2 4 6 7 10 11
9 : 3 5 6 7 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

66. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 7 10
5 : 1 2 3 8 9 11
6 : 1 2 4 8 10 11
7 : 1 3 4 9 10 11
8 : 2 5 6 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

67. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 7 10
5 : 1 2 3 8 9 11
6 : 1 2 4 9 10 11
7 : 1 3 4 8 10 11
8 : 2 5 7 9 10 11
9 : 3 5 6 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

68. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 7 10
5 : 1 2 3 8 10 11
6 : 1 2 4 9 10 11
7 : 1 3 4 8 9 11
8 : 2 5 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 6 8 9 11
11 : 5 6 7 8 9 10

69. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 9 11
6 : 1 2 4 8 10 11
7 : 1 3 5 9 10 11
8 : 2 4 6 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

70. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 9 11
6 : 1 2 4 9 10 11
7 : 1 3 5 8 10 11
8 : 2 4 7 9 10 11
9 : 3 5 6 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

71. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 10 11
6 : 1 2 4 8 9 11
7 : 1 3 5 9 10 11
8 : 2 4 6 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 7 8 9 11
11 : 5 6 7 8 9 10

72. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 7 10 11
6 : 1 2 4 9 10 11
7 : 1 3 5 8 9 11
8 : 2 4 7 9 10 11
9 : 3 6 7 8 10 11
10 : 4 5 6 8 9 11
11 : 5 6 7 8 9 10

73. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 8 9 11
6 : 1 2 4 7 10 11
7 : 1 3 6 9 10 11
8 : 2 4 5 9 10 11
9 : 3 5 7 8 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

74. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
4 : 1 2 3 6 8 10
5 : 1 2 3 8 9 11
6 : 1 2 4 9 10 11
7 : 1 3 8 9 10 11
8 : 2 4 5 7 10 11
9 : 3 5 6 7 10 11
10 : 4 6 7 8 9 11
11 : 5 6 7 8 9 10

75. Graph gelesen

1 : 2 3 4 5 6 7
2 : 1 3 4 5 6 8
3 : 1 2 4 5 7 9
