
1. Graph gelesen

1 : 2 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 10 11
9 : 6 11 12
10 : 7 8 12
11 : 8 9 12
12 : 9 10 11

13. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 7 9
7 : 5 6 10
8 : 5 11 12
9 : 6 11 12
10 : 7 11 12
11 : 8 9 10
12 : 8 9 10

14. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 9
8 : 5 7 11
9 : 6 7 12
10 : 6 11 12
11 : 8 10 12
12 : 9 10 11

15. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 11
9 : 6 10 12
10 : 6 9 12
11 : 7 8 12
12 : 9 10 11

16. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 10 11
10 : 6 9 12
11 : 7 9 12
12 : 8 10 11

17. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 8 11
8 : 5 7 12
9 : 6 11 12
10 : 6 11 12
11 : 7 9 10
12 : 8 9 10

18. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 10
8 : 5 11 12
9 : 6 7 11
10 : 6 7 12
11 : 8 9 12
12 : 8 10 11

19. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 11
8 : 5 10 11
9 : 6 7 12
10 : 6 8 12
11 : 7 8 12
12 : 9 10 11

20. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 11
8 : 5 10 12
9 : 6 7 11
10 : 6 8 12
11 : 7 9 12
12 : 8 10 11

21. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 11
8 : 5 10 12
9 : 6 7 12
10 : 6 8 11
11 : 7 10 12
12 : 8 9 11

22. Graph gelesen

1 : 2 3 4
2 : 1 3 4
3 : 1 2 5
4 : 1 2 6
5 : 3 7 8
6 : 4 9 10
7 : 5 9 11
8 : 5 11 12
9 : 6 7 12
10 : 6 11 12
11 : 7 8 10
12 : 8 9 10

23. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 6
5 : 2 4 7
6 : 3 4 8
7 : 5 9 10
8 : 6 9 11
9 : 7 8 12
10 : 7 11 12
11 : 8 10 12
12 : 9 10 11

24. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 6
5 : 2 4 7
6 : 3 4 8
7 : 5 9 10
8 : 6 11 12
9 : 7 10 11
10 : 7 9 12
11 : 8 9 12
12 : 8 10 11

25. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 6
5 : 2 4 7
6 : 3 4 8
7 : 5 9 10
8 : 6 11 12
9 : 7 11 12
10 : 7 11 12
11 : 8 9 10
12 : 8 9 10

26. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 7
6 : 3 8 9
7 : 4 5 10
8 : 6 9 11
9 : 6 8 12
10 : 7 11 12
11 : 8 10 12
12 : 9 10 11

27. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 7
6 : 3 8 9
7 : 4 5 10
8 : 6 11 12
9 : 6 11 12
10 : 7 11 12
11 : 8 9 10
12 : 8 9 10

28. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 7 9
7 : 4 6 10
8 : 5 9 11
9 : 6 8 12
10 : 7 11 12
11 : 8 10 12
12 : 9 10 11

29. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 7 9
7 : 4 6 10
8 : 5 10 11
9 : 6 11 12
10 : 7 8 12
11 : 8 9 12
12 : 9 10 11

30. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 7 9
7 : 4 6 10
8 : 5 11 12
9 : 6 10 11
10 : 7 9 12
11 : 8 9 12
12 : 8 10 11

31. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 7 9
7 : 4 6 10
8 : 5 11 12
9 : 6 11 12
10 : 7 11 12
11 : 8 9 10
12 : 8 9 10

32. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 8 11
8 : 5 7 12
9 : 6 10 11
10 : 6 9 12
11 : 7 9 12
12 : 8 10 11

33. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 8 11
8 : 5 7 12
9 : 6 11 12
10 : 6 11 12
11 : 7 9 10
12 : 8 9 10

34. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 9 10
8 : 5 11 12
9 : 6 7 11
10 : 6 7 12
11 : 8 9 12
12 : 8 10 11

35. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 9 11
8 : 5 9 12
9 : 6 7 8
10 : 6 11 12
11 : 7 10 12
12 : 8 10 11

36. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 9 11
8 : 5 10 11
9 : 6 7 12
10 : 6 8 12
11 : 7 8 12
12 : 9 10 11

37. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 9 11
8 : 5 10 12
9 : 6 7 11
10 : 6 8 12
11 : 7 9 12
12 : 8 10 11

38. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 9 11
8 : 5 10 12
9 : 6 7 12
10 : 6 8 11
11 : 7 10 12
12 : 8 9 11

39. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 9 11
8 : 5 11 12
9 : 6 7 10
10 : 6 9 12
11 : 7 8 12
12 : 8 10 11

40. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 9 11
8 : 5 11 12
9 : 6 7 12
10 : 6 11 12
11 : 7 8 10
12 : 8 9 10

41. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 5 7
5 : 2 4 8
6 : 3 9 10
7 : 4 11 12
8 : 5 11 12
9 : 6 10 11
10 : 6 9 12
11 : 7 8 9
12 : 7 8 10

42. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 8
6 : 3 9 10
7 : 4 5 11
8 : 4 5 12
9 : 6 11 12
10 : 6 11 12
11 : 7 9 10
12 : 8 9 10

43. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 7 10
7 : 4 5 6
8 : 4 11 12
9 : 5 11 12
10 : 6 11 12
11 : 8 9 10
12 : 8 9 10

44. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 8 9
7 : 4 5 10
8 : 4 6 11
9 : 5 6 12
10 : 7 11 12
11 : 8 10 12
12 : 9 10 11

45. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 8 10
7 : 4 5 10
8 : 4 6 11
9 : 5 11 12
10 : 6 7 12
11 : 8 9 12
12 : 9 10 11

46. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 8 10
7 : 4 5 11
8 : 4 6 11
9 : 5 10 12
10 : 6 9 12
11 : 7 8 12
12 : 9 10 11

47. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 8 10
7 : 4 5 11
8 : 4 6 12
9 : 5 10 11
10 : 6 9 12
11 : 7 9 12
12 : 8 10 11

48. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 8 10
7 : 4 5 11
8 : 4 6 12
9 : 5 10 12
10 : 6 9 11
11 : 7 10 12
12 : 8 9 11

49. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 8 10
7 : 4 5 11
8 : 4 6 12
9 : 5 11 12
10 : 6 11 12
11 : 7 9 10
12 : 8 9 10

50. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 8
8 : 4 7 12
9 : 5 10 11
10 : 6 9 12
11 : 6 9 12
12 : 8 10 11

51. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 10
8 : 4 9 11
9 : 5 8 12
10 : 6 7 12
11 : 6 8 12
12 : 9 10 11

52. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 10
8 : 4 9 12
9 : 5 8 12
10 : 6 7 11
11 : 6 10 12
12 : 8 9 11

53. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 10
8 : 4 10 12
9 : 5 11 12
10 : 6 7 8
11 : 6 9 12
12 : 8 9 11

54. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 10
8 : 4 11 12
9 : 5 11 12
10 : 6 7 12
11 : 6 8 9
12 : 8 9 10

55. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 12
8 : 4 9 10
9 : 5 8 11
10 : 6 8 12
11 : 6 9 12
12 : 7 10 11

56. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 12
8 : 4 9 10
9 : 5 8 12
10 : 6 8 11
11 : 6 10 12
12 : 7 9 11

57. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 12
8 : 4 10 11
9 : 5 10 12
10 : 6 8 9
11 : 6 8 12
12 : 7 9 11

58. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 7 9
6 : 3 10 11
7 : 4 5 12
8 : 4 10 12
9 : 5 11 12
10 : 6 8 11
11 : 6 9 10
12 : 7 8 9

59. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 9 10
6 : 3 11 12
7 : 4 8 9
8 : 4 7 11
9 : 5 7 10
10 : 5 9 12
11 : 6 8 12
12 : 6 10 11

60. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 9 10
6 : 3 11 12
7 : 4 8 9
8 : 4 7 11
9 : 5 7 12
10 : 5 11 12
11 : 6 8 10
12 : 6 9 10

61. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 9 10
6 : 3 11 12
7 : 4 9 10
8 : 4 11 12
9 : 5 7 11
10 : 5 7 12
11 : 6 8 9
12 : 6 8 10

62. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 9 10
6 : 3 11 12
7 : 4 9 11
8 : 4 10 12
9 : 5 7 11
10 : 5 8 12
11 : 6 7 9
12 : 6 8 10

63. Graph gelesen

1 : 2 3 4
2 : 1 3 5
3 : 1 2 6
4 : 1 7 8
5 : 2 9 10
6 : 3 11 12
7 : 4 9 11
8 : 4 10 12
9 : 5 7 12
10 : 5 8 11
11 : 6 7 10
12 : 6 8 9

64. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 6
4 : 1 5 7
5 : 2 3 4
6 : 2 3 8
7 : 4 9 10
8 : 6 11 12
9 : 7 11 12
10 : 7 11 12
11 : 8 9 10
12 : 8 9 10

65. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 6
4 : 1 7 8
5 : 2 3 7
6 : 2 3 9
7 : 4 5 10
8 : 4 11 12
9 : 6 11 12
10 : 7 11 12
11 : 8 9 10
12 : 8 9 10

66. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 6
4 : 1 7 8
5 : 2 3 9
6 : 2 3 10
7 : 4 9 11
8 : 4 10 11
9 : 5 7 12
10 : 6 8 12
11 : 7 8 12
12 : 9 10 11

67. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 6
4 : 1 7 8
5 : 2 3 9
6 : 2 3 10
7 : 4 9 11
8 : 4 10 12
9 : 5 7 12
10 : 6 8 11
11 : 7 10 12
12 : 8 9 11

68. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 8 11
8 : 4 7 12
9 : 5 10 11
10 : 6 9 12
11 : 7 9 12
12 : 8 10 11

69. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 8 11
8 : 4 7 12
9 : 5 10 12
10 : 6 9 11
11 : 7 10 12
12 : 8 9 11

70. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 8 11
8 : 4 7 12
9 : 5 11 12
10 : 6 11 12
11 : 7 9 10
12 : 8 9 10

71. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 9 11
8 : 4 10 11
9 : 5 7 12
10 : 6 8 12
11 : 7 8 12
12 : 9 10 11

72. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 9 11
8 : 4 10 12
9 : 5 7 12
10 : 6 8 11
11 : 7 10 12
12 : 8 9 11

73. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 9 11
8 : 4 11 12
9 : 5 7 12
10 : 6 11 12
11 : 7 8 10
12 : 8 9 10

74. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 10 11
8 : 4 9 11
9 : 5 8 12
10 : 6 7 12
11 : 7 8 12
12 : 9 10 11

75. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 6 8
5 : 2 3 9
6 : 2 4 10
7 : 3 10 11
8 : 4 11 12
9 : 5 11 12
10 : 6 7 12
11 : 7 8 9
12 : 8 9 10

76. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 8
6 : 2 7 10
7 : 3 6 11
8 : 4 5 12
9 : 4 10 11
10 : 6 9 12
11 : 7 9 12
12 : 8 10 11

77. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 8
6 : 2 9 10
7 : 3 10 11
8 : 4 5 12
9 : 4 6 11
10 : 6 7 12
11 : 7 9 12
12 : 8 10 11

78. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 8
6 : 2 10 11
7 : 3 10 11
8 : 4 5 12
9 : 4 10 12
10 : 6 7 9
11 : 6 7 12
12 : 8 9 11

79. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 10
6 : 2 8 11
7 : 3 8 12
8 : 4 6 7
9 : 4 10 11
10 : 5 9 12
11 : 6 9 12
12 : 7 10 11

80. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 10
6 : 2 8 11
7 : 3 8 12
8 : 4 6 7
9 : 4 11 12
10 : 5 11 12
11 : 6 9 10
12 : 7 9 10

81. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 10
6 : 2 8 11
7 : 3 9 12
8 : 4 6 12
9 : 4 7 11
10 : 5 11 12
11 : 6 9 10
12 : 7 8 10

82. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 10
6 : 2 8 11
7 : 3 11 12
8 : 4 6 12
9 : 4 10 11
10 : 5 9 12
11 : 6 7 9
12 : 7 8 10

83. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 5 7
4 : 1 8 9
5 : 2 3 10
6 : 2 11 12
7 : 3 11 12
8 : 4 10 11
9 : 4 10 12
10 : 5 8 9
11 : 6 7 8
12 : 6 7 9

84. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 7 8
4 : 1 9 10
5 : 2 7 9
6 : 2 8 10
7 : 3 5 11
8 : 3 6 12
9 : 4 5 12
10 : 4 6 11
11 : 7 10 12
12 : 8 9 11

85. Graph gelesen

1 : 2 3 4
2 : 1 5 6
3 : 1 7 8
4 : 1 9 10
5 : 2 7 9
6 : 2 8 11
7 : 3 5 12
8 : 3 6 10
9 : 4 5 11
10 : 4 8 12
11 : 6 9 12
12 : 7 10 11
