
1. Graph gelesen

1 : 2 3 4 5
6 : 3 7 8 10
7 : 4 6 10 11
8 : 5 6 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 7 8 9 10

14. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 7 10 11
7 : 4 6 10 11
8 : 5 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

15. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 8 9 10
7 : 4 8 10 11
8 : 5 6 7 11
9 : 5 6 10 11
10 : 6 7 9 11
11 : 7 8 9 10

16. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 8 10 11
7 : 4 8 10 11
8 : 5 6 7 9
9 : 5 8 10 11
10 : 6 7 9 11
11 : 6 7 9 10

17. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 8 10 11
7 : 4 9 10 11
8 : 5 6 9 10
9 : 5 7 8 11
10 : 6 7 8 11
11 : 6 7 9 10

18. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 4 6
4 : 1 2 3 7
5 : 1 2 8 9
6 : 3 8 10 11
7 : 4 9 10 11
8 : 5 6 10 11
9 : 5 7 10 11
10 : 6 7 8 9
11 : 6 7 8 9

19. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 7
5 : 1 2 8 9
6 : 3 4 8 9
7 : 3 4 10 11
8 : 5 6 10 11
9 : 5 6 10 11
10 : 7 8 9 11
11 : 7 8 9 10

20. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 7
5 : 1 2 8 9
6 : 3 4 8 10
7 : 3 4 9 11
8 : 5 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

21. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 7
5 : 1 2 8 9
6 : 3 4 8 10
7 : 3 4 10 11
8 : 5 6 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 7 8 9 10

22. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 7
5 : 1 2 8 9
6 : 3 4 10 11
7 : 3 4 10 11
8 : 5 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

23. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 6 9
6 : 3 4 5 10
7 : 3 8 9 11
8 : 4 7 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

24. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 8
6 : 3 4 9 10
7 : 3 5 9 11
8 : 4 5 10 11
9 : 6 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

25. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 7 10
7 : 3 5 6 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 8 9 11
11 : 7 8 9 10

26. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 8 9
7 : 3 5 10 11
8 : 4 6 10 11
9 : 5 6 10 11
10 : 7 8 9 11
11 : 7 8 9 10

27. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 8 10
7 : 3 5 9 11
8 : 4 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

28. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 8 10
7 : 3 5 10 11
8 : 4 6 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 7 8 9 10

29. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 9 10
7 : 3 5 8 11
8 : 4 7 10 11
9 : 5 6 10 11
10 : 6 8 9 11
11 : 7 8 9 10

30. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 9 10
7 : 3 5 10 11
8 : 4 9 10 11
9 : 5 6 8 11
10 : 6 7 8 11
11 : 7 8 9 10

31. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 7 9
6 : 3 4 10 11
7 : 3 5 10 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

32. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 7 8
7 : 3 6 9 11
8 : 4 6 10 11
9 : 5 7 10 11
10 : 5 8 9 11
11 : 7 8 9 10

33. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 7 9
7 : 3 6 8 11
8 : 4 7 10 11
9 : 5 6 10 11
10 : 5 8 9 11
11 : 7 8 9 10

34. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 7 9
7 : 3 6 10 11
8 : 4 9 10 11
9 : 5 6 8 11
10 : 5 7 8 11
11 : 7 8 9 10

35. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 7 11
7 : 3 6 8 9
8 : 4 7 10 11
9 : 5 7 10 11
10 : 5 8 9 11
11 : 6 8 9 10

36. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 7 11
7 : 3 6 8 11
8 : 4 7 9 10
9 : 5 8 10 11
10 : 5 8 9 11
11 : 6 7 9 10

37. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 7 11
7 : 3 6 9 10
8 : 4 9 10 11
9 : 5 7 8 11
10 : 5 7 8 11
11 : 6 8 9 10

38. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 7 11
7 : 3 6 9 11
8 : 4 9 10 11
9 : 5 7 8 10
10 : 5 8 9 11
11 : 6 7 8 10

39. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 9 10
7 : 3 8 9 11
8 : 4 7 10 11
9 : 5 6 7 11
10 : 5 6 8 11
11 : 7 8 9 10

40. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 9 11
7 : 3 8 9 10
8 : 4 7 10 11
9 : 5 6 7 11
10 : 5 7 8 11
11 : 6 8 9 10

41. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 9 11
7 : 3 8 9 11
8 : 4 7 10 11
9 : 5 6 7 10
10 : 5 8 9 11
11 : 6 7 8 10

42. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 9 11
7 : 3 8 10 11
8 : 4 7 10 11
9 : 5 6 10 11
10 : 5 7 8 9
11 : 6 7 8 9

43. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 6 8
5 : 1 2 9 10
6 : 3 4 9 11
7 : 3 9 10 11
8 : 4 9 10 11
9 : 5 6 7 8
10 : 5 7 8 11
11 : 6 7 8 10

44. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 8 9
5 : 1 2 10 11
6 : 3 7 8 9
7 : 3 6 8 10
8 : 4 6 7 11
9 : 4 6 10 11
10 : 5 7 9 11
11 : 5 8 9 10

45. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 8 9
5 : 1 2 10 11
6 : 3 7 8 9
7 : 3 6 10 11
8 : 4 6 9 10
9 : 4 6 8 11
10 : 5 7 8 11
11 : 5 7 9 10

46. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 8 9
5 : 1 2 10 11
6 : 3 7 8 9
7 : 3 6 10 11
8 : 4 6 10 11
9 : 4 6 10 11
10 : 5 7 8 9
11 : 5 7 8 9

47. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 8 9
5 : 1 2 10 11
6 : 3 7 8 10
7 : 3 6 9 11
8 : 4 6 9 10
9 : 4 7 8 11
10 : 5 6 8 11
11 : 5 7 9 10

48. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 8 9
5 : 1 2 10 11
6 : 3 7 8 10
7 : 3 6 9 11
8 : 4 6 9 11
9 : 4 7 8 10
10 : 5 6 9 11
11 : 5 7 8 10

49. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 8 9
5 : 1 2 10 11
6 : 3 7 8 10
7 : 3 6 9 11
8 : 4 6 10 11
9 : 4 7 10 11
10 : 5 6 8 9
11 : 5 7 8 9

50. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 5
3 : 1 2 6 7
4 : 1 2 8 9
5 : 1 2 10 11
6 : 3 8 9 10
7 : 3 8 10 11
8 : 4 6 7 11
9 : 4 6 10 11
10 : 5 6 7 9
11 : 5 7 8 9

51. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 8
6 : 2 5 9 10
7 : 3 5 9 11
8 : 4 5 10 11
9 : 6 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

52. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 9
6 : 2 5 7 10
7 : 3 5 6 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 8 9 11
11 : 7 8 9 10

53. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 9
6 : 2 5 8 10
7 : 3 5 9 11
8 : 4 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

54. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 9
6 : 2 5 8 10
7 : 3 5 10 11
8 : 4 6 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 7 8 9 10

55. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 9
6 : 2 5 9 10
7 : 3 5 10 11
8 : 4 9 10 11
9 : 5 6 8 11
10 : 6 7 8 11
11 : 7 8 9 10

56. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 7 9
6 : 2 5 10 11
7 : 3 5 10 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

57. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 9 10
6 : 2 5 9 10
7 : 3 8 9 11
8 : 4 7 10 11
9 : 5 6 7 11
10 : 5 6 8 11
11 : 7 8 9 10

58. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 9 10
6 : 2 5 9 11
7 : 3 8 9 10
8 : 4 7 10 11
9 : 5 6 7 11
10 : 5 7 8 11
11 : 6 8 9 10

59. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 6 9 10
6 : 2 5 9 11
7 : 3 9 10 11
8 : 4 9 10 11
9 : 5 6 7 8
10 : 5 7 8 11
11 : 6 7 8 10

60. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 4 7
4 : 1 2 3 8
5 : 1 9 10 11
6 : 2 9 10 11
7 : 3 9 10 11
8 : 4 9 10 11
9 : 5 6 7 8
10 : 5 6 7 8
11 : 5 6 7 8

61. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 5 7
5 : 1 3 4 8
6 : 2 3 9 10
7 : 4 8 9 11
8 : 5 7 10 11
9 : 6 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

62. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 5 7
5 : 1 3 4 8
6 : 2 3 9 10
7 : 4 9 10 11
8 : 5 9 10 11
9 : 6 7 8 11
10 : 6 7 8 11
11 : 7 8 9 10

63. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 7 8
5 : 1 3 7 8
6 : 2 3 9 10
7 : 4 5 9 11
8 : 4 5 10 11
9 : 6 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

64. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 7 8
5 : 1 3 7 9
6 : 2 3 8 10
7 : 4 5 9 11
8 : 4 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

65. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 7 8
5 : 1 3 7 9
6 : 2 3 8 10
7 : 4 5 10 11
8 : 4 6 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 7 8 9 10

66. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 7 8
5 : 1 3 7 9
6 : 2 3 10 11
7 : 4 5 8 10
8 : 4 7 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 6 8 9 10

67. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 6
4 : 1 2 7 8
5 : 1 3 7 9
6 : 2 3 10 11
7 : 4 5 10 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

68. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 5 7
5 : 1 3 4 8
6 : 2 9 10 11
7 : 3 4 9 10
8 : 5 9 10 11
9 : 6 7 8 11
10 : 6 7 8 11
11 : 6 8 9 10

69. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 5 8
5 : 1 3 4 9
6 : 2 7 8 10
7 : 3 6 9 11
8 : 4 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

70. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 5 8
5 : 1 3 4 9
6 : 2 7 9 10
7 : 3 6 8 11
8 : 4 7 10 11
9 : 5 6 10 11
10 : 6 8 9 11
11 : 7 8 9 10

71. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 5 8
5 : 1 3 4 9
6 : 2 7 9 10
7 : 3 6 10 11
8 : 4 9 10 11
9 : 5 6 8 11
10 : 6 7 8 11
11 : 7 8 9 10

72. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 5 8
5 : 1 3 4 9
6 : 2 7 10 11
7 : 3 6 10 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

73. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 5 8
5 : 1 3 4 9
6 : 2 9 10 11
7 : 3 8 10 11
8 : 4 7 10 11
9 : 5 6 10 11
10 : 6 7 8 9
11 : 6 7 8 9

74. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 7
5 : 1 3 8 9
6 : 2 4 8 10
7 : 3 4 9 11
8 : 5 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

75. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 7
5 : 1 3 8 9
6 : 2 4 10 11
7 : 3 4 8 10
8 : 5 7 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 6 8 9 10

76. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 7 9
6 : 2 4 8 10
7 : 3 5 9 11
8 : 4 6 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

77. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 7 9
6 : 2 4 8 10
7 : 3 5 10 11
8 : 4 6 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 7 8 9 10

78. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 7 9
6 : 2 4 9 10
7 : 3 5 8 11
8 : 4 7 10 11
9 : 5 6 10 11
10 : 6 8 9 11
11 : 7 8 9 10

79. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 7 9
6 : 2 4 9 10
7 : 3 5 10 11
8 : 4 9 10 11
9 : 5 6 8 11
10 : 6 7 8 11
11 : 7 8 9 10

80. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 7 9
6 : 2 4 10 11
7 : 3 5 10 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

81. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 8 9
6 : 2 4 7 10
7 : 3 6 9 11
8 : 4 5 10 11
9 : 5 7 10 11
10 : 6 8 9 11
11 : 7 8 9 10

82. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 8 9
6 : 2 4 9 10
7 : 3 8 10 11
8 : 4 5 7 11
9 : 5 6 10 11
10 : 6 7 9 11
11 : 7 8 9 10

83. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 8 9
6 : 2 4 9 10
7 : 3 9 10 11
8 : 4 5 10 11
9 : 5 6 7 11
10 : 6 7 8 11
11 : 7 8 9 10

84. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 8 9
6 : 2 4 10 11
7 : 3 8 9 10
8 : 4 5 7 11
9 : 5 7 10 11
10 : 6 7 9 11
11 : 6 8 9 10

85. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 8 9
6 : 2 4 10 11
7 : 3 9 10 11
8 : 4 5 9 10
9 : 5 7 8 11
10 : 6 7 8 11
11 : 6 7 9 10

86. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 8 9
6 : 2 4 10 11
7 : 3 9 10 11
8 : 4 5 10 11
9 : 5 7 10 11
10 : 6 7 8 9
11 : 6 7 8 9

87. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 9 10
6 : 2 4 9 10
7 : 3 8 9 11
8 : 4 7 10 11
9 : 5 6 7 11
10 : 5 6 8 11
11 : 7 8 9 10

88. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 9 10
6 : 2 4 9 11
7 : 3 8 9 10
8 : 4 7 10 11
9 : 5 6 7 11
10 : 5 7 8 11
11 : 6 8 9 10

89. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 9 10
6 : 2 4 9 11
7 : 3 8 9 11
8 : 4 7 10 11
9 : 5 6 7 10
10 : 5 8 9 11
11 : 6 7 8 10

90. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 9 10
6 : 2 4 9 11
7 : 3 8 10 11
8 : 4 7 10 11
9 : 5 6 10 11
10 : 5 7 8 9
11 : 6 7 8 9

91. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 6 8
5 : 1 3 9 10
6 : 2 4 9 11
7 : 3 9 10 11
8 : 4 9 10 11
9 : 5 6 7 8
10 : 5 7 8 11
11 : 6 7 8 10

92. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 6 9
6 : 2 5 8 10
7 : 3 4 10 11
8 : 4 6 9 11
9 : 5 8 10 11
10 : 6 7 9 11
11 : 7 8 9 10

93. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 6 9
6 : 2 5 9 10
7 : 3 4 10 11
8 : 4 9 10 11
9 : 5 6 8 11
10 : 6 7 8 11
11 : 7 8 9 10

94. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 6 9
6 : 2 5 10 11
7 : 3 4 10 11
8 : 4 9 10 11
9 : 5 8 10 11
10 : 6 7 8 9
11 : 6 7 8 9

95. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 8 9
6 : 2 8 9 10
7 : 3 4 10 11
8 : 4 5 6 11
9 : 5 6 10 11
10 : 6 7 9 11
11 : 7 8 9 10

96. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 8 9
6 : 2 9 10 11
7 : 3 4 9 10
8 : 4 5 10 11
9 : 5 6 7 11
10 : 6 7 8 11
11 : 6 8 9 10

97. Graph gelesen

1 : 2 3 4 5
2 : 1 3 4 6
3 : 1 2 5 7
4 : 1 2 7 8
5 : 1 3 8 9
6 : 2 9 10 11
7 : 3 4 10 11
8 : 4 5 9 10
9 : 5 6 8 11
10 : 6 7 8 11
11 : 6 7 9 10

